,sample,group,donor,treatment
T2-1C.trim.fastq_bracken,T2-1C,T2,T2-1,8R
T2-1B.trim.fastq_bracken,T2-1B,T2,T2-1,8R
T2-1A.trim.fastq_bracken,T2-1A,T2,T2-1,8R
T1-6H.trim.fastq_bracken,T1-6H,T1,T1-6,1.5R
T1-6G.trim.fastq_bracken,T1-6G,T1,T1-6,1.5R
T1-6F.trim.fastq_bracken,T1-6F,T1,T1-6,1.5R
T1-6E.trim.fastq_bracken,T1-6E,T1,T1-6,1.5R
T1-6D.trim.fastq_bracken,T1-6D,T1,T1-6,1.5R
T1-6C.trim.fastq_bracken,T1-6C,T1,T1-6,1.5R
T1-6B.trim.fastq_bracken,T1-6B,T1,T1-6,1.5R
T1-6A.trim.fastq_bracken,T1-6A,T1,T1-6,1.5R
T1-5H.trim.fastq_bracken,T1-5H,T1,T1-5,1.5R
T1-5G.trim.fastq_bracken,T1-5G,T1,T1-5,1.5R
T1-5F.trim.fastq_bracken,T1-5F,T1,T1-5,1.5R
T1-5E.trim.fastq_bracken,T1-5E,T1,T1-5,1.5R
T1-5D.trim.fastq_bracken,T1-5D,T1,T1-5,1.5R
T1-5C.trim.fastq_bracken,T1-5C,T1,T1-5,1.5R
T1-5B.trim.fastq_bracken,T1-5B,T1,T1-5,1.5R
T1-5A.trim.fastq_bracken,T1-5A,T1,T1-5,1.5R
T1-4H.trim.fastq_bracken,T1-4H,T1,T1-4,1.5R
T1-4G.trim.fastq_bracken,T1-4G,T1,T1-4,1.5R
T1-4F.trim.fastq_bracken,T1-4F,T1,T1-4,1.5R
T1-4E.trim.fastq_bracken,T1-4E,T1,T1-4,1.5R
T1-4D.trim.fastq_bracken,T1-4D,T1,T1-4,1.5R
T1-4C.trim.fastq_bracken,T1-4C,T1,T1-4,1.5R
T1-4B.trim.fastq_bracken,T1-4B,T1,T1-4,1.5R
T1-4A.trim.fastq_bracken,T1-4A,T1,T1-4,1.5R
T1-3H.trim.fastq_bracken,T1-3H,T1,T1-3,1.5R
T1-3G.trim.fastq_bracken,T1-3G,T1,T1-3,1.5R
T1-3F.trim.fastq_bracken,T1-3F,T1,T1-3,1.5R
T1-3E.trim.fastq_bracken,T1-3E,T1,T1-3,1.5R
T1-3D.trim.fastq_bracken,T1-3D,T1,T1-3,1.5R
T1-3C.trim.fastq_bracken,T1-3C,T1,T1-3,1.5R
T1-3B.trim.fastq_bracken,T1-3B,T1,T1-3,1.5R
T1-3A.trim.fastq_bracken,T1-3A,T1,T1-3,1.5R
T1-2H.trim.fastq_bracken,T1-2H,T1,T1-2,1.5R
T1-2G.trim.fastq_bracken,T1-2G,T1,T1-2,1.5R
T1-2F.trim.fastq_bracken,T1-2F,T1,T1-2,1.5R
T1-2E.trim.fastq_bracken,T1-2E,T1,T1-2,1.5R
T1-2D.trim.fastq_bracken,T1-2D,T1,T1-2,1.5R
T1-2C.trim.fastq_bracken,T1-2C,T1,T1-2,1.5R
T1-2B.trim.fastq_bracken,T1-2B,T1,T1-2,1.5R
T1-2A.trim.fastq_bracken,T1-2A,T1,T1-2,1.5R
T1-1H.trim.fastq_bracken,T1-1H,T1,T1-1,1.5R
T1-1G.trim.fastq_bracken,T1-1G,T1,T1-1,1.5R
T1-1F.trim.fastq_bracken,T1-1F,T1,T1-1,1.5R
T1-1E.trim.fastq_bracken,T1-1E,T1,T1-1,1.5R
T1-1D.trim.fastq_bracken,T1-1D,T1,T1-1,1.5R
T1-1C.trim.fastq_bracken,T1-1C,T1,T1-1,1.5R
T1-1B.trim.fastq_bracken,T1-1B,T1,T1-1,1.5R
