sample_id,fast5_dir,fast5_dirname,ont_barcode
PLA-4D,/path/to/all_fast5,all_fast5,barcode04
PLA-4E,/path/to/all_fast5,all_fast5,barcode05
PLA-4G,/path/to/all_fast5,all_fast5,barcode07
PLA-5A,/path/to/all_fast5,all_fast5,barcode09
PLA-5D,/path/to/all_fast5,all_fast5,barcode12
PLA-5E,/path/to/all_fast5,all_fast5,barcode13
PLA-5F,/path/to/all_fast5,all_fast5,barcode14
PLA-5H,/path/to/all_fast5,all_fast5,barcode16
PLA-6C,/path/to/all_fast5,all_fast5,barcode19
PLA-6D,/path/to/all_fast5,all_fast5,barcode20
PLA-6E,/path/to/all_fast5,all_fast5,barcode21
PLA-6F,/path/to/all_fast5,all_fast5,barcode22
PLA-6G,/path/to/all_fast5,all_fast5,barcode23
PLA-6H,/path/to/all_fast5,all_fast5,barcode24
