sample_id,fast5_dir,fast5_dirname,ont_barcode
T2-1A,/path/to/all_fast5,all_fast5,barcode01
T2-1B,/path/to/all_fast5,all_fast5,barcode02
T2-1C,/path/to/all_fast5,all_fast5,barcode03
T2-1D,/path/to/all_fast5,all_fast5,barcode04
T2-1E,/path/to/all_fast5,all_fast5,barcode05
T2-1F,/path/to/all_fast5,all_fast5,barcode06
T2-1G,/path/to/all_fast5,all_fast5,barcode07
T2-1H,/path/to/all_fast5,all_fast5,barcode08
T2-2A,/path/to/all_fast5,all_fast5,barcode09
T2-2B,/path/to/all_fast5,all_fast5,barcode10
T2-2C,/path/to/all_fast5,all_fast5,barcode11
T2-2D,/path/to/all_fast5,all_fast5,barcode12
T2-2E,/path/to/all_fast5,all_fast5,barcode13
T2-2F,/path/to/all_fast5,all_fast5,barcode14
T2-2G,/path/to/all_fast5,all_fast5,barcode15
T2-2H,/path/to/all_fast5,all_fast5,barcode16
T2-3A,/path/to/all_fast5,all_fast5,barcode17
T2-3B,/path/to/all_fast5,all_fast5,barcode18
T2-3C,/path/to/all_fast5,all_fast5,barcode19
T2-3D,/path/to/all_fast5,all_fast5,barcode20
T2-3E,/path/to/all_fast5,all_fast5,barcode21
T2-3F,/path/to/all_fast5,all_fast5,barcode22
T2-3G,/path/to/all_fast5,all_fast5,barcode23
T2-3H,/path/to/all_fast5,all_fast5,barcode24
