sample_id,fast5_dir,fast5_dirname,ont_barcode
T1-4A,/path/to/all_fast5,all_fast5,barcode01
T1-4B,/path/to/all_fast5,all_fast5,barcode02
T1-4C,/path/to/all_fast5,all_fast5,barcode03
T1-4D,/path/to/all_fast5,all_fast5,barcode04
T1-4E,/path/to/all_fast5,all_fast5,barcode05
T1-4F,/path/to/all_fast5,all_fast5,barcode06
T1-4G,/path/to/all_fast5,all_fast5,barcode07
T1-4H,/path/to/all_fast5,all_fast5,barcode08
T1-5A,/path/to/all_fast5,all_fast5,barcode09
T1-5B,/path/to/all_fast5,all_fast5,barcode10
T1-5C,/path/to/all_fast5,all_fast5,barcode11
T1-5D,/path/to/all_fast5,all_fast5,barcode12
T1-5E,/path/to/all_fast5,all_fast5,barcode13
T1-5F,/path/to/all_fast5,all_fast5,barcode14
T1-5G,/path/to/all_fast5,all_fast5,barcode15
T1-5H,/path/to/all_fast5,all_fast5,barcode16
T1-6A,/path/to/all_fast5,all_fast5,barcode17
T1-6B,/path/to/all_fast5,all_fast5,barcode18
T1-6C,/path/to/all_fast5,all_fast5,barcode19
T1-6D,/path/to/all_fast5,all_fast5,barcode20
T1-6E,/path/to/all_fast5,all_fast5,barcode21
T1-6F,/path/to/all_fast5,all_fast5,barcode22
T1-6G,/path/to/all_fast5,all_fast5,barcode23
T1-6H,/path/to/all_fast5,all_fast5,barcode24
