sample_id,fast5_dir,fast5_dirname,ont_barcode
UT-4A,/path/to/all_fast5,all_fast5,barcode01
UT-4B,/path/to/all_fast5,all_fast5,barcode02
UT-4C,/path/to/all_fast5,all_fast5,barcode03
UT-4D,/path/to/all_fast5,all_fast5,barcode04
UT-4E,/path/to/all_fast5,all_fast5,barcode05
UT-4F,/path/to/all_fast5,all_fast5,barcode06
UT-4G,/path/to/all_fast5,all_fast5,barcode07
UT-4H,/path/to/all_fast5,all_fast5,barcode08
UT-5A,/path/to/all_fast5,all_fast5,barcode09
UT-5B,/path/to/all_fast5,all_fast5,barcode10
UT-5C,/path/to/all_fast5,all_fast5,barcode11
UT-5D,/path/to/all_fast5,all_fast5,barcode12
UT-5E,/path/to/all_fast5,all_fast5,barcode13
UT-5F,/path/to/all_fast5,all_fast5,barcode14
UT-5G,/path/to/all_fast5,all_fast5,barcode15
UT-5H,/path/to/all_fast5,all_fast5,barcode16
UT-6A,/path/to/all_fast5,all_fast5,barcode17
UT-6B,/path/to/all_fast5,all_fast5,barcode18
UT-6C,/path/to/all_fast5,all_fast5,barcode19
UT-6D,/path/to/all_fast5,all_fast5,barcode20
UT-6E,/path/to/all_fast5,all_fast5,barcode21
UT-6F,/path/to/all_fast5,all_fast5,barcode22
UT-6G,/path/to/all_fast5,all_fast5,barcode23
UT-6H,/path/to/all_fast5,all_fast5,barcode24
