sample_id,fast5_dir,fast5_dirname,ont_barcode
T1-1A,/path/to/all_fast5,all_fast5,barcode01
T1-1B,/path/to/all_fast5,all_fast5,barcode02
T1-1C,/path/to/all_fast5,all_fast5,barcode03
T1-1D,/path/to/all_fast5,all_fast5,barcode04
T1-1E,/path/to/all_fast5,all_fast5,barcode05
T1-1F,/path/to/all_fast5,all_fast5,barcode06
T1-1G,/path/to/all_fast5,all_fast5,barcode07
T1-1H,/path/to/all_fast5,all_fast5,barcode08
T1-2A,/path/to/all_fast5,all_fast5,barcode09
T1-2B,/path/to/all_fast5,all_fast5,barcode10
T1-2C,/path/to/all_fast5,all_fast5,barcode11
T1-2D,/path/to/all_fast5,all_fast5,barcode12
T1-2E,/path/to/all_fast5,all_fast5,barcode13
T1-2F,/path/to/all_fast5,all_fast5,barcode14
T1-2G,/path/to/all_fast5,all_fast5,barcode15
T1-2H,/path/to/all_fast5,all_fast5,barcode16
T1-3A,/path/to/all_fast5,all_fast5,barcode17
T1-3B,/path/to/all_fast5,all_fast5,barcode18
T1-3C,/path/to/all_fast5,all_fast5,barcode19
T1-3D,/path/to/all_fast5,all_fast5,barcode20
T1-3E,/path/to/all_fast5,all_fast5,barcode21
T1-3F,/path/to/all_fast5,all_fast5,barcode22
T1-3G,/path/to/all_fast5,all_fast5,barcode23
T1-3H,/path/to/all_fast5,all_fast5,barcode24
